animal	gender	value
Rat	male	0.76
House cat	male	0.74
Medium sized dog	male	0.6
Large dog	male	0.31
Kangaroo	male	0.17
Eagle	male	0.38
Grizzly Bear	male	0.07
Wolf	male	0.16
Lion	male	0.07
Gorilla	male	0.09
Chimpanzee	male	0.22
King Cobra	male	0.23
Elephant	male	0.09
Crocodile	male	0.1
Goose	male	0.71
Rat	female	0.68
House cat	female	0.64
Medium sized dog	female	0.39
Large dog	female	0.15
Kangaroo	female	0.11
Eagle	female	0.23
Grizzly Bear	female	0.06
Wolf	female	0.09
Lion	female	0.08
Gorilla	female	0.08
Chimpanzee	female	0.12
King Cobra	female	0.08
Elephant	female	0.08
Crocodile	female	0.08
Goose	female	0.51
